Key,Source,Type,english
mod_hybrid_vehicle_kit_strong,item_modifiers,Mod,"Hybrid Vehicle Kit"
mod_hybrid_vehicle_kit_desc_strong,item_modifiers,Mod,"Adds torque and power to any vehicle by adding a hybrid battery and motor. Provides modest fuel savings for gas-powered vehicles."
lblCategoryStrongCrops,UI,Tooltip,"StrongCrops"
plantedStrongMushroom1,blocks,Block,"[ffda03]Strong[-] Mushrooms (Spores)"
plantedStrongMushroom2,blocks,Block,"[ffda03]Strong[-] Mushrooms (Growing)"
plantedStrongMushroom3Harvest,blocks,Block,"[ffda03]Strong[-] Mushrooms"
plantedStrongAloe1,blocks,Block,"[ffda03]Strong[-] Aloe (Seed)"
plantedStrongAloe2,blocks,Block,"[ffda03]Strong[-] Aloe (Growing)"
plantedStrongAloe3Harvest,blocks,Block,"[ffda03]Strong[-] Aloe Plant"
plantedStrongYucca1,blocks,Block,"[ffda03]Strong[-] Yucca (Seed)"
plantedStrongYucca2,blocks,Block,"[ffda03]Strong[-] Yucca (Growing)"
plantedStrongYucca3Harvest,blocks,Block,"[ffda03]Strong[-] Yucca Plant"
plantedStrongPotato1,blocks,Block,"[ffda03]Strong[-] Potato (Seed)"
plantedStrongPotato2,blocks,Block,"[ffda03]Strong[-] Potato (Growing)"
plantedStrongPotato3Harvest,blocks,Block,"[ffda03]Strong[-] Potato Plant"
plantedStrongCorn1,blocks,Block,"[ffda03]Strong[-] Corn (Seed)"
plantedStrongCorn2,blocks,Block,"[ffda03]Strong[-] Corn (Growing)"
plantedStrongCorn3Harvest,blocks,Block,"[ffda03]Strong[-] Corn Plant"
plantedStrongGoldenrod1,blocks,Block,"[ffda03]Strong[-] Goldenrod (Seed)"
plantedStrongGoldenrod2,blocks,Block,"[ffda03]Strong[-] Goldenrod (Growing)"
plantedStrongGoldenrod3Harvest,blocks,Block,"[ffda03]Strong[-] Goldenrod Plant"
plantedStrongCotton1,blocks,Block,"[ffda03]Strong[-] Cotton (Seed)"
plantedStrongCotton2,blocks,Block,"[ffda03]Strong[-] Cotton (Growing)"
plantedStrongCotton3Harvest,blocks,Block,"[ffda03]Strong[-] Cotton Plant"
plantedStrongChrysanthemum1,blocks,Block,"[ffda03]Strong[-] Chrysanthemum (Seed)"
plantedStrongChrysanthemum2,blocks,Block,"[ffda03]Strong[-] Chrysanthemum (Growing)"
plantedStrongChrysanthemum3Harvest,blocks,Block,"[ffda03]Strong[-] Chrysanthemum Plant"
plantedStrongCoffee1,blocks,Block,"[ffda03]Strong[-] Coffee (Seed)"
plantedStrongCoffee2,blocks,Block,"[ffda03]Strong[-] Coffee (Growing)"
plantedStrongCoffee3Harvest,blocks,Block,"[ffda03]Strong[-] Coffee Plant"
plantedStrongBlueberry1,blocks,Block,"[ffda03]Strong[-] Blueberry (Seed)"
plantedStrongBlueberry2,blocks,Block,"[ffda03]Strong[-] Blueberry (Growing)"
plantedStrongBlueberry3Harvest,blocks,Block,"[ffda03]Strong[-] Blueberry Plant"
plantedStrongHop1,blocks,Block,"[ffda03]Strong[-] Hop (Seed)"
plantedStrongHop2,blocks,Block,"[ffda03]Strong[-] Hop (Growing)"
plantedStrongHop3Harvest,blocks,Block,"[ffda03]Strong[-] Hop Plant"
plantedStrongPumpkin1,blocks,Block,"[ffda03]Strong[-] Pumpkin (Seed)"
plantedStrongPumpkin2,blocks,Block,"[ffda03]Strong[-] Pumpkin (Growing)"
plantedStrongPumpkin3Harvest,blocks,Block,"[ffda03]Strong[-] Pumpkin Plant"
item_opal_of_ophelia,items,Items,Opal of Ophelia
item_opal_of_ophelia_desc,items,Items,Fast travel currency. Used to unlock new transporters from Stronghold to the traders.\n\nClick [decea3]Use[-] to donate one opal towards unlocking the next trader transporter.\n\nRead more about the unlocking transporters with the [decea3]/transporters[-] chat command. See the current transporter status with [decea3]/transporters status[-].
challengeCategoryStronghold,challenges,ChallengeCategory,Stronghold
challengeGroupStrongholdUnlocks,challenges,ChallengeGroup,Stronghold Unlocks
challengeFindStronghold,challenges,Challenge,Find Stronghold
challengeFindStrongholdShort,challenges,Challenge,Visit the Stronghold
challengeFindStrongholdDesc,challenges,Challenge,Locate and visit the Stronghold to unlock the /stronghold and /sh teleport commands.
challengeRewardStrongholdTP,challenges,Challenge,Unlock /stronghold Command
challengeStatStrongholdVisited,challenges,Challenge,Stronghold Visited
challengeCompleteFiveQuests,challenges,Challenge,Complete 5 Quests
challengeCompleteFiveQuestsShort,challenges,Challenge,Finish 5 Quests
challengeCompleteFiveQuestsDesc,challenges,Challenge,Complete 5 quests to unlock the /bed teleport command.
challengeRewardBedTP,challenges,Challenge,Unlock /bed Command
